# key	state	sha256 of the original GitHub secret value (SMH_SIMPLE: pre-rotation value)
SMH_SIMPLE	present	a357f5df56b2e383f686f549eff0bd2979af6b1a5dd649a232efeb099e59a6ec
SMH_MULTILINE	present	3fb768a9f502f11a4e7211f42085da24d966f7a5e77bf26936e8f6a86e59d31c
SMH_UNICODE	present	b1b36c062ca1c41344b3faf7031b1fea832b8518302127a0cac0e8474ea3db0c
SMH_SPECIAL	present	40b735b5a19978e7469cb139659923e3d7b1ab8a61933ba43cbf30586fc4d535
SMH_NEAR_LIMIT	present	4968f928fbb4534b0d8002cd85cfabec87d66e8d05f2bcabd4f3e2d110c48eec
SMH_NEAR_LIMIT_UTF8	present	78737636a48cafb9583731b1c8d14f44cc6e78323ccd161be351a1d2b3d69153
SMH_PADDED	present	63eac1bb78843f942e3b07f67d1ef124c2b7e4abf81363a04801d8a05d8f3a41
SMB_BIND	present	d3b0e8c25cf6f73fb82804dabd2b0c6ca41c671bfafa6a1e422a57fc9697fbfc
SML_LARGE	present	242889e995b3ed593b0fc9f7ccf617b800af76eca86637409af062e51958dabe
SMC_NEW	absent	-
SMN_WHITESPACE	absent	-
SMN_WS_PARTNER	absent	-
SMN_OVERSIZE	absent	-
SMN_OS_PARTNER	absent	-
SME_EXPIRY	absent	-
SMR_RACE	absent	-
SMX_01	absent	-
